job_id,job_title_raw,company,location,job_type_final,work_setup_final,salary_min_observed,salary_max_observed,salary_observed_midpoint,salary_available,salary_shown_in_dashboard,salary_used_for_scoring,salary_estimation_method,standardized_role,role_confidence,seniority_level_llm,seniority_level_for_scoring,seniority_estimation_method,seniority_confidence,minimum_years_experience,maximum_years_experience,experience_basis
112,Data Scientist,LSEG,Taguig,Full Time,Onsite,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,Medium,3.0,5.0,Career Stage: Senior Associate
113,Data Scientist,Ortigas & Company,Mandaluyong,Full Time,Onsite,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,5.0,7.0,With at least 5-7 years of experience in the data science analytics field in business
114,Data Science Practitioner,Accenture,Mandaluyong,Full Time,Hybrid,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,Medium,2.0,,Minimum 2 year(s) of experience is required
115,Data Scientist,TalentVibe Business Consultancy,Fort Bonifacio,Contract,Work from Home,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Unspecified,Mid,Estimated: same role mode,Low,,,
116,Data Scientist,JAMY Interactive,Remote,Full Time,Work from Home,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,High,2.0,,"Experience: 5 years of experience required; If no work experience, internships or academic projects related to IT Service Management, Service Delivery, or IT Operations are beneficial"
117,Data Scientist,Adaca,Remote,Contract,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,3.0,5.0,Qualifications: 3–5 years of hands-on experience in a Data Scientist role; Video Analytics: 3 years (Preferred); Python: 5 years (Preferred); AWS SageMaker: 3 years (Preferred); YOLO (v5/v7/v8/v11): 3 years (Preferred); Detectron2: 3 years (Preferred); MMDetection: 3 years (Preferred); OpenCV: 3 years (Preferred); TensorRT: 3 years (Preferred); DeepStream (for streaming video): 3 years (Preferred)
118,Data Scientist,First Gen,Pasig,Full Time,Onsite,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,High,2.0,,Qualification Requirements: At least 2 years of relevant work experience
119,Director/Manager Data Science and Enablement,"National Credit Recovery, Inc.",Remote,Full Time,Work from Home,,,,False,,100000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Lead/Manager,Lead/Manager,LLM extracted,High,,,"Qualifications: Master’s or PhD in Mathematics, Statistics, Computer Science, Actuarial Science, or related field; Proven leadership experience managing data science or AI teams"
120,Marketing Data Analyst,Henkel,Makati,Full Time,Hybrid,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,5.0,,What makes you a good fit: Minimum of Five (5) years of experience in Data Analytics/Data Engineering
121,Influencer Performance - Insight & Analytics,Shopee,Manila,Full Time,Onsite,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,4.0,,Has had at least 4 years of work experience
122,Data Scientist,Manulife,Quezon City,Full Time,Hybrid,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,High,2.0,,"Minimum of 2 years of relevant experience in analytics, data science, or a related field"
123,Data Scientist,Eastwest Bank,Taguig,Full Time,Hybrid,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,Medium,0.0,8.0,Relevant experience ranges from 0–2 years for junior roles up to 8+ years for lead roles
124,Data AI Solutions Sales,Value Point Systems,Makati,Full Time,Onsite,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Medium,Mid,Mid,LLM extracted,High,3.0,,"Typically, more than 3+ years of relevant experience in data analytics, AI, or ML"
125,Data Scientist,Nestle,Makati,Full Time,Onsite,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,5.0,,5+ years of experience in an applied analytics environment
126,Senior Data Scientist,Feedzai,Remote,Full Time,Work from Home,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,,,"MSc or PhD in a quantitative field is required, implying advanced experience"
127,Associate Data Scientist,InterContinental Hotel Groups,Makati,Full Time,Work from Home,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Entry,Entry,LLM extracted,Medium,3.0,5.0,Bachelor’s degree with 5+ years or Master’s with 3+ years of experience in analytics
128,Data Scientist,PwC,Makati,Full Time,Onsite,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,5.0,,5+ years of AI and Data consulting experience is required
129,Data Scientist,JPMorganChase,Manila,Full Time,Onsite,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,Medium,3.0,,"Three years of experience in analytics, data science, or related roles is required"
130,Predictive Modeler and Analyst,Xelure Technologies,Remote,Full Time,Work from Home,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,5.0,8.0,"5–8+ years of experience in data science, statistical modeling, or quantitative analytics is required"
131,Data Science and Supply Chain Analyst,Copeland,Quezon City,Full Time,Hybrid,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,5.0,,At least 5 years of work experience and at least 3 years in Data Analytics / Data Science field
132,Data Analyst,Baytech BPO,Pasig,Full Time,Onsite,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Entry,Entry,LLM extracted,Medium,,,"No explicit experience requirement stated, but 'minimum qualifications' imply entry-level or mid-level experience"
133,Data Analyst,Convoy Marketing,Quezon City,Full Time,Onsite,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Entry,Entry,LLM extracted,Medium,1.0,,With at least 1 year relevant experience in Fast Moving Consumer Goods (FMCG) industry
134,Data Analyst,"L3 Global Ventures, Inc.",Mandaluyong,Full Time,Onsite,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Entry,Entry,LLM extracted,Low,,,"No explicit experience requirement stated, but 'experience with data-driven and process-oriented analysis' implies some level of experience"
135,Data Analyst and BI Deveoper,Talentium Inc.,Pasig,Full Time,Onsite,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,3.0,,"At least 3 years' experience in modeling data, ETL analysis and design, including comprehensive experience in SQL programming"
136,Senior Data Analyst,BM Digital,Remote,Full Time,Work from Home,116000.0,,116000.0,True,116000.0,116000.0,Observed,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,3.0,6.0,"3-6 years of experience in data analytics, business intelligence, or a similar role"
137,Data Analyst,"Unison Computer Systems, Inc.",,Full Time,Onsite,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Entry,Entry,LLM extracted,Medium,0.5,1.0,At least 6 months to 1 year of working experience in the related field is required for this position
138,Data Analyst,"Goel Services, Inc.",Manila,Full Time,Work from Home,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Unspecified,Mid,Estimated: same role mode,Low,,,
139,MIS Analyst,"Unifin, Inc.",Remote,Full Time,Work from Home,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,High,3.0,,"3+ years of experience in MIS analysis, with a focus on Power BI creation and management"
140,Data and Analytics Officer,CIBI Information Inc.,Makati,Full Time,Onsite,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,High,3.0,5.0,3-5 years of working experience in a data analytics or a related data and analytics driven environment
141,BI Developer,Canam,Mandaluyong,Full Time,Onsite,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Unspecified,Mid,Estimated: same role mode,Low,,,
142,Data Analyst,Wipro,Quezon City,Full Time,Hybrid,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Unspecified,Mid,Estimated: same role mode,Low,,,
143,Data Analyst,Travel + Leisure Co,Clark,Full Time,Onsite,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Unspecified,Mid,Estimated: same role mode,Low,,,
144,Data Analyst,Nextrade Philippines,Fort Bonifacio,Full Time,Onsite,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Entry,Entry,LLM extracted,Medium,1.0,1.0,Experience in Sales Force and Power BI: 1 year (Required)
145,Data Analyst,Arch Global Services,Taguig,Full Time,Hybrid,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,Medium,3.0,5.0,3-5 years of experience using strong analytical skills
146,Data Analyst,unifyCX,Quezon City,Full Time,Onsite,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,High,2.0,5.0,"2–5+ years of experience in data analysis within a BPO, CX, or shared services environment"
147,Data Analyst Lead,MetroMart Technologies Inc.,Makati,Full Time,Onsite,,,,False,,74500.0,Estimated: same role median,Data Analyst / BI / Scientist,High,Lead/Manager,Lead/Manager,LLM extracted,High,3.0,,At least 3 years of experience (with Lead experience) in data analysis with hands-on experience in SQL
148,Finance Data Analyst,NCC Group,Manila,Full Time,Hybrid,,,,False,,33000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,Medium,,,"Not explicitly stated, but implies some experience with data analysis and reporting"
149,Senior Data Analyst,Seven Seven Global Services Inc,Makati,Full Time,Hybrid,,,,False,,116000.0,Estimated: same role + seniority median,Data Analyst / BI / Scientist,High,Senior,Senior,LLM extracted,High,8.0,10.0,8-10 years of experience in banking or financial services
150,Data Analyst,Cambridge University Press & Assessment,Manila,Full Time,Hybrid,33000.0,,33000.0,True,33000.0,33000.0,Observed,Data Analyst / BI / Scientist,High,Mid,Mid,LLM extracted,Medium,,,"Not explicitly stated, but implies some experience with data analysis and reporting"
